日付,タイトル,金額,カテゴリ
2024-01-04,定食屋,1200,食費
2024-01-05,スノボ,5500,娯楽
2024-01-09,コンビニ,2100,食費
2024-01-10,美容院,8500,美容
2024-01-11,バス代,600,交通費
2024-01-13,ジャケット購入,5200,衣類
2024-01-15,ドラッグストア,8800,美容
2024-01-15,自販機で飲み物,300,飲み物
2024-01-17,タピオカ,400,飲み物
2024-01-17,細々した買い物,10000,その他
2024-01-20,ボウリング,7300,娯楽
2024-01-21,自炊の材料費,3000,食費
2024-01-21,コスメ購入,14900,美容
2024-01-22,コンビニ,800,食費
2024-01-23,自炊の材料費,1400,食費
2024-01-24,バス代,200,交通費
2024-01-24,ファストフード,600,食費
2024-01-24,ライブ参戦,1500,娯楽
2024-01-24,友人とカラオケ,5500,娯楽
2024-01-26,細々した買い物,6500,その他
2024-01-26,遊園地,1900,娯楽
2024-01-26,ファストフード,3500,食費
2024-01-31,コーヒー豆,200,飲み物
2024-02-01,雑費,3700,その他
2024-02-03,タクシー代,700,交通費
2024-02-03,カフェでランチ,600,カフェ
2024-02-04,映画鑑賞,4800,娯楽
2024-02-05,ボウリング,4000,娯楽
2024-02-05,ファストフード,1800,食費
2024-02-07,定食屋,700,食費
2024-02-07,ドラッグストア,10800,美容
2024-02-15,電車代,1100,交通費
2024-02-16,カフェでランチ,1400,カフェ
2024-02-16,技術書,3400,自己投資
2024-02-17,コスメ購入,1600,美容
2024-02-20,コンビニ弁当,2800,食費
2024-02-21,定食屋,1700,食費
2024-02-22,コーヒー豆,400,飲み物
2024-02-22,カットモデル,12900,美容
2024-02-22,自炊の材料費,2300,食費
2024-02-22,コスメ購入,6300,美容
2024-02-23,電車代,800,交通費
2024-02-24,プレゼント購入,700,その他
2024-02-25,友人と外食,500,食費
2024-02-26,自炊の材料費,500,食費
2024-02-28,定食屋,300,食費
2024-02-29,カフェで勉強,900,カフェ
2024-03-01,カフェで勉強,900,カフェ
2024-03-01,ボウリング,8600,娯楽
2024-03-05,カフェでランチ,500,カフェ
2024-03-05,カフェで作業,1000,カフェ
2024-03-06,急な出費,18700,その他
2024-03-08,定食屋,1400,食費
2024-03-11,セール品購入,2800,衣類
2024-03-12,シャンプー購入,8200,美容
2024-03-17,コンビニ弁当,600,食費
2024-03-17,ゲーム購入,11600,娯楽
2024-03-19,自炊の材料費,2200,食費
2024-03-20,技術書,3800,自己投資
2024-03-21,定食屋,2500,食費
2024-03-21,靴購入,8600,衣類
2024-03-22,自炊の材料費,300,食費
2024-03-22,カフェで作業,900,カフェ
2024-03-24,バス代,400,交通費
2024-03-29,オンライン講座,3500,自己投資
2024-03-30,ネイルサロン,7000,美容
2024-03-30,プレゼント購入,6100,その他
2024-03-30,自炊の材料費,3400,食費
2024-03-31,バス代,500,交通費
2024-04-01,カフェで勉強,900,カフェ
2024-04-01,急な出費,16900,その他
2024-04-02,細々した買い物,9600,その他
2024-04-04,冬物コート,10300,衣類
2024-04-07,資格試験の申込,2800,自己投資
2024-04-07,細々した買い物,13800,その他
2024-04-08,カットモデル,2800,美容
2024-04-09,定期券更新,400,交通費
2024-04-11,コンビニ弁当,2600,食費
2024-04-11,コンビニ,1900,食費
2024-04-14,自炊の材料費,500,食費
2024-04-14,ファストフード,1700,食費
2024-04-14,友人と外食,1400,食費
2024-04-17,紅茶,400,飲み物
2024-04-18,コーヒー豆,600,飲み物
2024-04-19,ネイルサロン,8800,美容
2024-04-19,外出先での娯楽費,8900,娯楽
2024-04-19,スノボ,3500,娯楽
2024-04-24,電車代,900,交通費
2024-04-25,ゲーム購入,6100,娯楽
2024-04-27,自販機で飲み物,400,飲み物
2024-04-28,定食屋,900,食費
2024-04-29,ボウリング,4600,娯楽
2024-04-29,技術書,2200,自己投資
2024-04-29,コーヒー豆,500,飲み物
2024-05-01,映画鑑賞,2500,娯楽
2024-05-02,遊園地,6000,娯楽
2024-05-03,スノボ,11200,娯楽
2024-05-04,ゲーム購入,7600,娯楽
2024-05-05,友人とカラオケ,9800,娯楽
2024-05-05,急な出費,11100,その他
2024-05-06,急な出費,5100,その他
2024-05-06,自販機で飲み物,300,飲み物
2024-05-07,急な出費,15700,その他
2024-05-07,急な出費,4100,その他
2024-05-08,ドラッグストア,12100,美容
2024-05-09,プレゼント購入,2200,その他
2024-05-10,急な出費,15600,その他
2024-05-11,オンライン講座,5300,自己投資
2024-05-14,友人とカラオケ,11400,娯楽
2024-05-15,技術書,3500,自己投資
2024-05-15,カフェで勉強,800,カフェ
